"Malli";"Numero";"Kohteen osoite";"Postinumero";"Postitoimipaikka";"Sijaintipaikan tyyppi";"Sijaintipaikka";"Aukioloaika";"Aukioloaika (lisätiedot)";"Koordinaatti LAT";"Koordinaatti LON"
"O";="04241";"KUNINKAANKATU 22";="33210";"TAMPERE";"LIIKEKIINTEISTÖ";"KÄVELYKATU";="24 H AUKIOLO";="";"61.498873";"23.756534"
"EP";="05562";"PUUTARHAKATU 10";="33210";"TAMPERE";"TAVARATALO";"ANTTILA TAMPERE";="LIIKETILAN AUKIOLO";="";"61.499198";"23.756023"
"P";="05778";"SATAKUNNANKATU 36";="33210";"TAMPERE";"KAUPPA";"SALE AMURI";="24 H AUKIOLO";="";"61.499990";"23.748010"
"EP";="05469";"SÄRKÄNNIEMI";="33230";"TAMPERE";"HUVIPUISTO";"SÄRKÄNNIEMI / NÄSINNEULAN RAKENNUS";="LIIKETILAN AUKIOLO";="";"61.504680";"23.743590"
"O";="04734";"PISPALAN VALTATIE 133";="33270";"TAMPERE";"LIIKEKIINTEISTÖ";"EPILÄ";="24 H AUKIOLO";="";"61.508013";"23.669504"
"P";="05841";"TESOMANKATU 4";="33310";"TAMPERE";"TAVARATALO";"K-SUPERMARKET LÄNSIPORTTI";="24 H AUKIOLO";="";"61.504762";"23.629424"
"O";="04069";"HARJUNTAUSTA 7";="33400";"TAMPERE";"TAVARATALO";"K-CITYMARKET LIELAHTI";="24 H AUKIOLO";="";"61.515589";"23.667943"
"EP";="05465";"HARJUNTAUSTA 7";="33400";"TAMPERE";"TAVARATALO";"K-CITYMARKET LIELAHTI";="LIIKETILAN AUKIOLO";="";"61.515589";"23.667943"
"O";="04678";"POSSIJÄRVENKATU 1";="33400";"TAMPERE";"PANKIN KONTTORI";"OP TAMPERE LIELAHTI";="24 H AUKIOLO";="";"61.517662";"23.664745"
"EP";="05478";"TURVESUONKATU 2";="33400";"TAMPERE";"TAVARATALO";"PRISMA LIELAHTI";="LIIKETILAN AUKIOLO";="";"61.518601";"23.661863"
"T";="40127";"TURVESUONKATU 2";="33400";"TAMPERE";"TAVARATALO";"PRISMA LIELAHTI";="LIIKETILAN AUKIOLO";="";"61.518600";"23.661860"
"O";="03928";"MÄNNISTÖNKUJA 2";="33410";"TAMPERE";"KAUPPA";"K-MARKET LENTÄVÄNNIEMI";="24 H AUKIOLO";="";"61.527378";"23.703111"
"O";="04296";"ASEMANTIE 2";="33470";"YLÖJÄRVI";"LIIKEKIINTEISTÖ";"SALE ASEMANTIE";="24 H AUKIOLO";="";"61.556590";"23.595360"
"EP";="05483";"ELOTIE 1";="33470";"YLÖJÄRVI";"KAUPPAKESKUS";"ELO";="LIIKETILAN AUKIOLO";="";"61.556500";"23.567260"
"EP";="05655";"HIITINTIE 1";="33470";"YLÖJÄRVI";"LIIKENNEPAIKKA";"ABC TEIVO";="LIIKETILAN AUKIOLO";="";"61.531980";"23.633820"
"O";="03830";"MIKKOLANTIE 1";="33470";"YLÖJÄRVI";"PANKIN KONTTORI";"OP YLÖJÄRVI";="24 H AUKIOLO";="";"61.548800";"23.596183"
"T";="40075";"SOPPEENTIE 2";="33470";"YLÖJÄRVI";"PANKIN KONTTORI";"NORDEA YLÖJÄRVI";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 06-22";"61.549080";"23.594740"
"O";="04574";"LÄHDEVAINIONTIE 1";="33480";"YLÖJÄRVI";"KAUPPA";"S-MARKET YLÖJÄRVI";="24 H AUKIOLO";="";"61.564350";"23.594690"
"O";="04058";"ITSENÄISYYDENKATU 11";="33500";"TAMPERE";"PANKIN KONTTORI";"OP TAMPERE TAMMELA";="24 H AUKIOLO";="";"61.499120";"23.780433"
"O";="04746";"ITSENÄISYYDENKATU 17";="33500";"TAMPERE";"PANKIN KONTTORI";"NORDEA TAMMELA";="24 H AUKIOLO";="";"61.499065";"23.782199"
"O";="04822";"TAMMELAN PUISTOKATU 21";="33500";"TAMPERE";"HUOLTOASEMA";"NESTE TAMMELA";="24 H AUKIOLO";="";"61.498239";"23.779401"
"O";="04245";"KISSANMAANKATU 9";="33520";"TAMPERE";"LIIKEKIINTEISTÖ";"KISSANMAA";="24 H AUKIOLO";="";"61.500672";"23.817884"
"EP";="05499";"TEISKONTIE 35";="33520";"TAMPERE";"SAIRAALA";"TAYS /KESKUSSAIRAALA";="LIIKETILAN AUKIOLO";="";"61.503820";"23.817690"
"O";="04787";"SAMMONKATU 17";="33540";"TAMPERE";"PANKIN KONTTORI";"NORDEA KALEVA";="24 H AUKIOLO";="";"61.497480";"23.797255"
"EP";="05464";"SAMMONKATU 60";="33540";"TAMPERE";"KAUPPA";"S-MARKET KALEVA";="LIIKETILAN AUKIOLO";="";"61.494279";"23.813018"
"EP";="05472";"SAMMONKATU 75";="33540";"TAMPERE";"TAVARATALO";"PRISMA TAMPERE";="LIIKETILAN AUKIOLO";="";"61.492109";"23.819603"
"EP";="05628";"SAMMONKATU 75";="33540";"TAMPERE";"TAVARATALO";"PRISMA TAMPERE  KALEVA";="LIIKETILAN AUKIOLO";="";"61.492110";"23.819600"
"O";="04583";"LIIKEKATU 3";="33580";"TAMPERE";"KAUPPA";"PRISMA TAMPERE  LINNAINMAA";="24 H AUKIOLO";="";"61.495356";"23.881402"
"EP";="05474";"LIIKEKATU 3";="33580";"TAMPERE";"TAVARATALO";"PRISMA LINNAINMAA";="LIIKETILAN AUKIOLO";="";"61.495356";"23.881402"
"O";="05437";"MÄENTAKUSENKATU 1";="33580";"TAMPERE";"TAVARATALO";"K-CITYMARKET LINNAINMAA";="24 H AUKIOLO";="";"61.496426";"23.887977"
"O";="04838";"RISTINARKUNTIE 20";="33700";"TAMPERE";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"61.484190";"23.850980"
"P";="05767";"KESKISENKATU 5";="33710";"TAMPERE";"KAUPPA";"S-MARKET KAUKAJÄRVI";="24 H AUKIOLO";="";"61.473316";"23.874006"
"EP";="05620";"MARTINPOJANKATU 4";="33710";"TAMPERE";"TAVARATALO";"K-CITYMARKET TURTOLA";="LIIKETILAN AUKIOLO";="";"61.476710";"23.841900"
"EP";="05621";"MARTINPOJANKATU 4";="33710";"TAMPERE";"TAVARATALO";"K-CITYMARKET TURTOLA";="LIIKETILAN AUKIOLO";="";"61.476710";"23.841900"
"O";="04242";"INSINÖÖRINKATU 11";="33720";"TAMPERE";"HUOLTOASEMA";"NESTE HERVANTA";="24 H AUKIOLO";="";"61.454618";"23.846822"
"O";="04423";"INSINÖÖRINKATU 23";="33720";"TAMPERE";"PANKIN KONTTORI";"NORDEA HERVANTA/KAUPPAKESKUS";="24 H AUKIOLO";="";"61.450572";"23.849677"
"O";="04740";"LINDFORSINKATU 2";="33720";"TAMPERE";"PANKIN KONTTORI";"OP TAMPERE HERVANTA";="24 H AUKIOLO";="";"61.450901";"23.848517"
"O";="04248";"PIETILÄNKATU 2";="33720";"TAMPERE";"KAUPPAKESKUS";"DUO";="LIIKETILAN AUKIOLO";="";"61.450770";"23.852380"
"T";="40027";"PIETILÄNKATU 2";="33720";"TAMPERE";"KAUPPAKESKUS";"DUO";="LIIKETILAN AUKIOLO";="";"61.450860";"23.852720"
"O";="04548";"KANGASALANTIE 120";="33730";"TAMPERE";"KAUPPA";"K-MARKET VEHMAINEN TAMPERE";="24 H AUKIOLO";="";"61.474378";"23.918419"
"EP";="05462";"VIINIKANKATU 40";="33800";"TAMPERE";"KAUPPA";"K-SUPERMARKET NEKALAN SUURJAKO";="LIIKETILAN AUKIOLO";="";"61.479916";"23.782519"
"O";="04775";"LEMPÄÄLÄNTIE 21";="33820";"TAMPERE";"TAVARATALO";"PRISMA KOIVISTONKYLÄ";="24 H AUKIOLO";="";"61.467690";"23.774790"
"EP";="05489";"LEMPÄÄLÄNTIE 21";="33820";"TAMPERE";"TAVARATALO";"PRISMA KOIVISTONKYLÄ";="LIIKETILAN AUKIOLO";="";"61.467687";"23.774793"
"O";="04360";"PELTOLAMMINKATU 40";="33840";"TAMPERE";"KAUPPA";"SIWA TAMPERE";="24 H AUKIOLO";="";"61.449850";"23.752615"
"P";="05802";"TAMPEREENTIE 453";="33880";"LEMPÄÄLÄ";"KAUPPA";"S-MARKET SÄÄKSJÄRVI";="24 H AUKIOLO";="";"61.415704";"23.758840"
"O";="04761";"NUOLIALANTIE 40";="33900";"TAMPERE";"KAUPPA";"K-MARKET HÄRMÄLÄ";="24 H AUKIOLO";="";"61.470040";"23.749336"
"O";="03735";"KENKÄTIE 2";="33950";"PIRKKALA";"KAUPPAKESKUS";"S-MARKET PARTOLA";="24 H AUKIOLO";="";"61.469462";"23.719255"
"T";="40124";"PALMROTHINTIE 2";="33950";"PIRKKALA";"KAUPPAKESKUS";"K-CITYMARKET PARTOLA";="LIIKETILAN AUKIOLO";="";"61.464970";"23.721820"
"EP";="05466";"KEISARINVIITTA 2";="33960";"PIRKKALA";"LIIKENNEPAIKKA";"ABC PIRKKALA";="LIIKETILAN AUKIOLO";="";"61.452919";"23.641882"
"O";="04732";"SUUPANTIE 4";="33960";"PIRKKALA";"PANKIN KONTTORI";"NORDEA PIRKKALA";="24 H AUKIOLO";="";"61.466077";"23.647324"
"O";="05227";"SUUPANTIE 6 C";="33960";"PIRKKALA";"PANKIN KONTTORI";"OP PIRKKALA";="24 H AUKIOLO";="";"61.465981";"23.645485"
"O";="04217";"KAUPPATIE 11";="34300";"KURU";"PANKIN KONTTORI";"OP KURU";="24 H AUKIOLO";="";"61.878495";"23.727128"
"O";="03925";"RUOVEDENTIE 13";="34600";"RUOVESI";"PANKIN KONTTORI";"OP RUOVESI";="24 H AUKIOLO";="";"61.985759";"24.070391"
"O";="04680";"VIRTAINTIE 28";="34800";"VIRRAT";"KAUPPA";"K-SUPERMARKET VIRRAT";="24 H AUKIOLO";="";"62.238722";"23.773127"
"O";="04532";"VIRTAINTIE 40";="34800";"VIRRAT";"PANKIN KONTTORI";"OP VIRRAT";="24 H AUKIOLO";="";"62.242299";"23.768767"
"O";="05282";"KESKUSTIE 25";="35300";"ORIVESI";"PANKIN KONTTORI";"OP ORIVESI";="24 H AUKIOLO";="";"61.676776";"24.357595"
"T";="40140";"KESKUSTIE 32";="35300";"ORIVESI";"PANKIN KONTTORI";"NORDEA ORIVESI";="ITSEPALVELUALUEEN AUKIOLO";="klo 6-24";"61.677170";"24.357150"
"P";="05714";"LÄNKIPOHJANTIE 17";="35400";"LÄNGELMÄKI";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"61.729180";"24.788640"
"O";="04604";"KOSKITIE 50";="35500";"KORKEAKOSKI";"PANKIN KONTTORI";"OP KORKEAKOSKI";="24 H AUKIOLO";="";"61.797004";"24.369761"
"O";="04985";"PUISTOTIE 1";="35600";"HALLI";"PANKIN KONTTORI";"OP HALLI";="24 H AUKIOLO";="";"61.860924";"24.828047"
"P";="05880";"KAARIKATU 1";="35700";"VILPPULA";"PANKIN KONTTORI";"OP VILPPULA";="24 H AUKIOLO";="";"62.022226";"24.511854"
"O";="05099";"HALLITUSKATU 23";="35800";"MÄNTTÄ";"PANKIN KONTTORI";"DANSKE MÄNTTÄ";="24 H AUKIOLO";="";"62.029306";"24.624226"
"O";="03927";"SEPPÄLÄN PUISTOTIE 8";="35800";"MÄNTTÄ";"PANKIN KONTTORI";"OP MÄNTTÄ";="24 H AUKIOLO";="";"62.031674";"24.623322"
"T";="40115";"SEPPÄLÄNPUISTOTIE 1";="35800";"MÄNTTÄ";"KAUPPA";"K-MARKET RUOKAPALETTI";="LIIKETILAN AUKIOLO";="";"62.033600";"24.623110"
"O";="04155";"POSTITIE 3";="35990";"KOLHO";"PANKIN KONTTORI";"OP KOLHO";="24 H AUKIOLO";="";"62.138955";"24.498858"
"O";="05341";"RUUTANANTIE 869";="36110";"RUUTANA";"KAUPPA";"SIWA RUUTANA";="24 H AUKIOLO";="";"61.527136";"24.017223"
"O";="05443";"FINNENTIE 1";="36200";"KANGASALA";"KAUPPA";"K-SUPERMARKET KANGASALA";="24 H AUKIOLO";="";"61.462333";"24.067786"
"O";="04371";"KUOHUNHARJUNTIE 26";="36200";"KANGASALA";"PANKIN KONTTORI";"OP KANGASALA";="24 H AUKIOLO";="";"61.462363";"24.078154"
"O";="04577";"PUUSEPÄNTIE 31";="36200";"KANGASALA";"KAUPPA";"S-MARKET KANGASALA";="24 H AUKIOLO";="";"61.468757";"24.037866"
"P";="05883";"MÄKIRINTEENTIE 10";="36220";"KANGASALA";"TAVARATALO";"PRISMA KANGASALA";="LIIKETILAN AUKIOLO";="";"61.476210";"23.977380"
"T";="40138";"MÄKIRINTEENTIE 10";="36220";"KANGASALA";"TAVARATALO";"PRISMA KANGASALA";="LIIKETILAN AUKIOLO";="";"61.476210";"23.977380"
"O";="04407";"VATIALANTIE 1";="36240";"KANGASALA";"PANKIN KONTTORI";"OP KANGASALA";="24 H AUKIOLO";="";"61.474532";"23.944109"
"P";="05891";"ISONIEMENTIE 1";="36420";"SAHALAHTI";"PANKIN KONTTORI";"OP SAHALAHTI";="24 H AUKIOLO";="";"61.475319";"24.329910"
"O";="04091";"KESKUSTIE 4";="36600";"PÄLKÄNE";"KAUPPA";"K-SUPERMARKET PÄLKÄNE";="24 H AUKIOLO";="";"61.339700";"24.269160"
"P";="05807";"KESKITIE 16";="36760";"LUOPIOINEN";"PANKIN KONTTORI";"SP LUOPIOINEN";="24 H AUKIOLO";="";"61.363581";"24.657524"
"O";="04214";"HÄRKITIE 14";="37100";"NOKIA";"PANKIN KONTTORI";"OP NOKIA";="24 H AUKIOLO";="";"61.480605";"23.510477"
"O";="04144";"KYYNINKATU 22";="37100";"NOKIA";"KAUPPA";"K-SUPERMARKET LÖYTIS";="24 H AUKIOLO";="";"61.483145";"23.512834"
"T";="40026";"PIRKKALAISTORI 1";="37100";"NOKIA";"KAUPPAKESKUS";"PIRKKALAISTORIN LIIKEKESKUS";="LIIKETILAN AUKIOLO";="";"61.477540";"23.512382"
"O";="04796";"VÄLIKATU 22";="37100";"NOKIA";"KAUPPA";"S-MARKET NOKIA";="24 H AUKIOLO";="";"61.478399";"23.512828"
"O";="04842";"NUIJAMIESTENTIE 3";="37120";"NOKIA";"KAUPPA";"LÖYTÖTAVARATALO";="24 H AUKIOLO";="";"61.465716";"23.506260"
"EP";="05518";"NUIJAMIESTENTIE 5";="37120";"NOKIA";"TAVARATALO";"K-CITYMARKET NOKIA";="LIIKETILAN AUKIOLO";="";"61.467630";"23.508825"
"P";="05814";"PINSIÖNTIE 23";="37130";"NOKIA";"KAUPPA";"S-MARKET MYLLYHAKA";="24 H AUKIOLO";="";"61.487795";"23.494499"
"EP";="05519";"ROUNIONKATU 140";="37150";"NOKIA";"LIIKENNEPAIKKA";"ABC KOLMENKULMA";="LIIKETILAN AUKIOLO";="";"61.501509";"23.568163"
"O";="04083";"SIURONTIE 45";="37200";"SIURO";"PANKIN KONTTORI";"POP SIURO";="24 H AUKIOLO";="";"61.475480";"23.343190"
"O";="04244";"KESONTIE 2";="37470";"VESILAHTI";"PANKIN KONTTORI";"OP KONTTORI";="24 H AUKIOLO";="";"61.296774";"23.638296"
"O";="05046";"KELHONTIE 254";="37500";"LEMPÄÄLÄ";"LIIKENNEPAIKKA";"TEBOIL PIRKANHOVI";="LIIKETILAN AUKIOLO";="";"61.255354";"23.842795"
"P";="05753";"PUISTOKATU 4";="37500";"LEMPÄÄLÄ";"KAUPPA";"S-MARKET LEMPÄÄLÄ";="24 H AUKIOLO";="";"61.313028";"23.758831"
"O";="04320";"TAMPEREENTIE 12 B";="37500";"LEMPÄÄLÄ";"PANKIN KONTTORI";"OP LEMPÄÄLÄ";="24 H AUKIOLO";="";"61.314804";"23.752711"
"P";="05779";"TAMPEREENTIE 21";="37500";"LEMPÄÄLÄ";"PANKIN KONTTORI";"NORDEA LEMPÄÄLÄ";="24 H AUKIOLO";="";"61.312870";"23.752410"
"O";="04578";"TAMPEREENTIE 272";="37560";"LEMPÄÄLÄ";"KAUPPAKESKUS";"KULJUNKARTANO";="24 H AUKIOLO";="";"61.380552";"23.779563"
"O";="04638";"IDEAPARKINKATU 4";="37570";"LEMPÄÄLÄ";"KAUPPAKESKUS";"IDEAPARK";="LIIKETILAN AUKIOLO";="";"61.362661";"23.798450"
"T";="40064";"IDEAPARKINKATU 4";="37570";"LEMPÄÄLÄ";"KAUPPAKESKUS";"IDEAPARK";="LIIKETILAN AUKIOLO";="";"61.362660";"23.798450"
"P";="05870";"APIANKATU 3";="37600";"VALKEAKOSKI";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"61.264290";"24.033280"
"O";="04465";"HAKALANTIE 1";="37600";"VALKEAKOSKI";"KAUPPAKESKUS";"VALKEAKOSKEN TORIKESKUS";="24 H AUKIOLO";="";"61.268526";"24.034604"
"O";="04139";"VALTAKATU 9";="37600";"VALKEAKOSKI";"LIIKEKIINTEISTÖ";"LIIKEKESKUS KOSKIKARA";="24 H AUKIOLO";="";"61.266611";"24.029382"
"T";="40062";"VALTAKATU 9";="37600";"VALKEAKOSKI";"KAUPPAKESKUS";"LIIKEKESKUS KOSKIKARA";="LIIKETILAN AUKIOLO";="";"61.266610";"24.029380"
"P";="05812";"LEMPÄÄLÄNTIE 39";="37630";"VALKEAKOSKI";"KAUPPA";"K-MARKET PEPPERONI";="24 H AUKIOLO";="";"61.277799";"24.015408"
"O";="04494";"VALTATIE 18";="37800";"AKAA";"PANKIN KONTTORI";"NORDEA TOIJALA";="24 H AUKIOLO";="";"61.166174";"23.868146"
"O";="04364";"VALTATIE 8";="37800";"AKAA";"PANKIN KONTTORI";"OP TOIJALA";="24 H AUKIOLO";="";"61.168027";"23.866616"
"T";="40095";"VALTATIE 8";="37800";"AKAA";"PANKIN KONTTORI";"OP TOIJALA";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 06-22";"61.168030";"23.866620"
"O";="04843";"KESKUSKATU 42";="37830";"AKAA";"PANKIN KONTTORI";"OP VIIALA";="24 H AUKIOLO";="";"61.211163";"23.766659"
"O";="04756";"PUISTOKATU 12";="38200";"SASTAMALA";"PANKIN KONTTORI";"NORDEA SASTAMALA";="24 H AUKIOLO";="";"61.340769";"22.910358"
"O";="04077";"PUISTOKATU 2";="38200";"SASTAMALA";"PANKIN KONTTORI";"OP VAMMALA";="24 H AUKIOLO";="";"61.342390";"22.907819"
"P";="05874";"SORVANKATU 5";="38200";"SASTAMALA";"KAUPPA";"K-SUPERMARKET SUPERI";="24 H AUKIOLO";="";"61.323919";"22.923144"
"T";="40072";"TORIKATU 1";="38200";"SASTAMALA";"KAUPPAKESKUS";"TORIKESKUS";="LIIKETILAN AUKIOLO";="";"61.340535";"22.909160"
"O";="04536";"TAITAJANTIE 1";="38360";"SASTAMALA";"LIIKENNEPAIKKA";"ABC KIIKOINEN";="24 H AUKIOLO";="";"61.473736";"22.557689"
"O";="04714";"KAUPPAKUJA 1";="38420";"SASTAMALA";"LIIKENNEPAIKKA";"NESTE HÄIJÄÄ SASTAMALA";="24 H AUKIOLO";="";"61.499570";"23.091410"
"O";="04585";"UOTSOLANTIE 43 A";="38460";"SASTAMALA";"PANKIN KONTTORI";"OP MOUHIJÄRVI";="24 H AUKIOLO";="";"61.513510";"23.008855"
"O";="04197";"SUODENNIEMENTIE 10";="38510";"SASTAMALA";"PANKIN KONTTORI";"OMA SP SUODENNIEMI";="24 H AUKIOLO";="";"61.557000";"22.780600"
"O";="05283";"TAMPEREENTIE 5";="38600";"LAVIA";"KAUPPA";"SALE LAVIA";="24 H AUKIOLO";="";"61.596364";"22.587886"
"O";="04492";"ASEMAKATU 1";="38700";"KANKAANPÄÄ";"LIIKEKIINTEISTÖ";"S-MARKET KANKAANPÄÄ";="24 H AUKIOLO";="";"61.812931";"22.375610"
"O";="04353";"KESKUSKATU 39";="38700";"KANKAANPÄÄ";"KAUPPA";"K-CITYMARKET KANKAANPÄÄ";="24 H AUKIOLO";="";"61.806863";"22.388888"
"P";="05856";"KUNINKAANLÄHTEENKATU 4";="38700";"KANKAANPÄÄ";"PANKIN KONTTORI";"DANSKE KANKAANPÄÄ";="24 H AUKIOLO";="";"61.803772";"22.396554"
"T";="40110";"TORIKATU 11";="38700";"KANKAANPÄÄ";"PANKIN KONTTORI";"OP KANKAANPÄÄ";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 6-23";"61.804970";"22.395450"
"O";="05276";"JÄMIJÄRVENTIE 22";="38800";"JÄMIJÄRVI";"PANKIN KONTTORI";"POP JÄMIJÄRVI";="24 H AUKIOLO";="";"61.819850";"22.692140"
"O";="05284";"PORHONTIE 1";="38950";"HONKAJOKI";"PANKIN KONTTORI";"POP HONKAJOKI";="24 H AUKIOLO";="";"61.993189";"22.260539"
"O";="04419";"HÄRKIKUJA 3";="39100";"HÄMEENKYRÖ";"PANKIN KONTTORI";"OP HÄMEENKYRÖ";="24 H AUKIOLO";="";"61.638440";"23.196602"
"O";="05071";"HÄRKIKUJA 4";="39100";"HÄMEENKYRÖ";"KAUPPA";"S-MARKET HÄMEENKYRÖ";="24 H AUKIOLO";="";"61.638800";"23.196989"
"O";="04926";"VANHA VAASANTIE 1";="39160";"JULKUJÄRVI";"HUOLTOASEMA";"SHELL YLÖJÄRVI";="24 H AUKIOLO";="";"61.566413";"23.524352"
"O";="03814";"VALTAKATU 57";="39200";"KYRÖSKOSKI";"PANKIN KONTTORI";"NORDEA KYRÖSKOSKI";="24 H AUKIOLO";="";"61.666820";"23.179610"
"T";="40022";"KARHOISTENTIE 3";="39500";"IKAALINEN";"KAUPPAKESKUS";"KOMPPI / PÄÄAULA";="LIIKETILAN AUKIOLO";="";"61.756770";"23.066040"
"O";="04629";"VANHA TAMPEREENTIE 10";="39500";"IKAALINEN";"PANKIN KONTTORI";"OP IKAALINEN";="24 H AUKIOLO";="";"61.770022";"23.064652"
"O";="04778";"HUMALANKATU 1";="39700";"PARKANO";"KAUPPA";"S-MARKET PARKANO";="24 H AUKIOLO";="";"62.006863";"23.011023"
"T";="40129";"KESKUSKATU 8";="39700";"PARKANO";"PANKIN KONTTORI";"OP SATAPIRKKA";="ITSEPALVELUALUEEN AUKIOLO";="24/7";"62.010330";"23.022870"
"P";="05806";"VALKAMATIE 2";="39820";"KIHNIÖ";"PANKIN KONTTORI";"OP KIHNIÖ";="24 H AUKIOLO";="";"62.207331";"23.178044"
"O";="03883";"KYLÄKARVIANTIE 30";="39930";"KARVIA";"PANKIN KONTTORI";"OP KARVIA";="24 H AUKIOLO";="";"62.133330";"22.558330"
"EP";="05459";"ASEMAKATU 5";="40100";"JYVÄSKYLÄ";"KAUPPAKESKUS";"JYVÄSKYLÄN FORUM";="LIIKETILAN AUKIOLO";="";"62.241968";"25.748641"
"O";="04871";"HANNIKAISENKATU 20";="40100";"JYVÄSKYLÄ";"LINJA-AUTOASEMA";"MATKAKESKUS";="LIIKETILAN AUKIOLO";="";"62.242228";"25.755067"
"O";="05037";"KAUPPAKATU 18";="40100";"JYVÄSKYLÄ";"PANKIN KONTTORI";"NORDEA JYVÄSKYLÄ";="24 H AUKIOLO";="";"62.241715";"25.745779"
"O";="04442";"KAUPPAKATU 22";="40100";"JYVÄSKYLÄ";"PANKIN KONTTORI";"OP JKL KAUPPAKATU";="24 H AUKIOLO";="";"62.242360";"25.746990"
"T";="40028";"KAUPPAKATU 22";="40100";"JYVÄSKYLÄ";"KAUPPAKESKUS";"FORUM";="LIIKETILAN AUKIOLO";="";"62.242350";"25.747240"
"O";="04597";"KAUPPAKATU 24";="40100";"JYVÄSKYLÄ";"TAVARATALO";"SOKOS JYVÄSKYLÄ";="24 H AUKIOLO";="";"62.242715";"25.747770"
"EP";="05446";"KAUPPAKATU 24";="40100";"JYVÄSKYLÄ";"TAVARATALO";"SOKOS JYVÄSKYLÄ";="LIIKETILAN AUKIOLO";="";"62.242715";"25.747770"
"EP";="05605";"PUISTOKATU 2";="40100";"JYVÄSKYLÄ";"KAUPPAKESKUS";"KOLMIKULMA";="LIIKETILAN AUKIOLO";="";"62.244475";"25.750582"
"O";="04481";"VAPAAHERRANTIE 2";="40100";"JYVÄSKYLÄ";"KAUPPAKESKUS";"TOURULAN PALVELUKESKUS";="24 H AUKIOLO";="";"62.250829";"25.768751"
"O";="05150";"VAPAUDENKATU 51";="40100";"JYVÄSKYLÄ";"KAUPPAKESKUS";"FORUM";="24 H AUKIOLO";="";"62.241853";"25.749673"
"O";="04849";"KIRRINTIE 2";="40270";"PALOKKA";"HUOLTOASEMA";"NESTE MENOTUULI";="24 H AUKIOLO";="";"62.302080";"25.711330"
"O";="05226";"KOIVUTIE 2";="40270";"PALOKKA";"KAUPPA";"K-MARKET JÄLKKÄRI";="24 H AUKIOLO";="";"62.288847";"25.740321"
"EP";="05533";"PALOKANORSI 1";="40270";"PALOKKA";"TAVARATALO";"PRISMA PALOKKA";="LIIKETILAN AUKIOLO";="";"62.289301";"25.716636"
"T";="40037";"PALOKANORSI 1";="40270";"PALOKKA";"KAUPPAKESKUS";"PRISMA - LIIKEKESKUS";="LIIKETILAN AUKIOLO";="";"62.289301";"25.716636"
"O";="04559";"SAARIJÄRVENTIE 52";="40270";"PALOKKA";"KAUPPAKESKUS";"PALOKAN KAUPPAKESKUS";="24 H AUKIOLO";="";"62.287843";"25.715024"
"O";="03899";"AHJOKATU 18";="40320";"JYVÄSKYLÄ";"TAVARATALO";"AHJOKEISARI";="24 H AUKIOLO";="";"62.259698";"25.779055"
"EP";="05530";"AHJOKATU 7";="40320";"JYVÄSKYLÄ";"LIIKEKIINTEISTÖ";"PRISMA SEPPÄLÄ";="LIIKETILAN AUKIOLO";="";"62.257880";"25.778020"
"EP";="05531";"AHJOKATU 7";="40320";"JYVÄSKYLÄ";"TAVARATALO";"PRISMA SEPPÄLÄ";="LIIKETILAN AUKIOLO";="";"62.257880";"25.778020"
"O";="04199";"VAPAAHERRANTIE 11";="40320";"JYVÄSKYLÄ";"TAVARATALO";"MINIMANI TAVARATALO";="LIIKETILAN AUKIOLO";="";"62.255020";"25.762659"
"EP";="05537";"VASARAKATU 29";="40320";"JYVÄSKYLÄ";"TAVARATALO";"K-CITYMARKET SEPPÄLÄ";="LIIKETILAN AUKIOLO";="";"62.264909";"25.779392"
"P";="05676";"NEVAKATU 1";="40340";"JYVÄSKYLÄ";"LIIKEKIINTEISTÖ";"HUHTAKOTI";="24 H AUKIOLO";="";"62.271352";"25.800148"
"EP";="05522";"KYLMÄLAHDENTIE 6";="40500";"JYVÄSKYLÄ";"TAVARATALO";"K-CITYMARKET KELJO";="LIIKETILAN AUKIOLO";="";"62.215442";"25.718760"
"T";="40041";"KYLMÄLAHDENTIE 6";="40500";"JYVÄSKYLÄ";"KAUPPAKESKUS";"KELJON LIIKEKESKUS";="LIIKETILAN AUKIOLO";="";"62.215442";"25.718760"
"O";="03731";"KYLMÄLAHDENTIE 8";="40500";"JYVÄSKYLÄ";"TAVARATALO";"PRISMA KELJO";="24 H AUKIOLO";="";"62.217880";"25.719860"
"EP";="05566";"KYLMÄLAHDENTIE 8";="40500";"JYVÄSKYLÄ";"TAVARATALO";"PRISMA KELJO";="LIIKETILAN AUKIOLO";="";"62.217880";"25.719860"
"P";="05672";"SYÖTTÄJÄNKATU 2";="40520";"JYVÄSKYLÄ";"KAUPPAKESKUS";"KUOKKALAN LIIKEKESKUS";="24 H AUKIOLO";="";"62.227688";"25.773370"
"O";="05040";"KELTINMÄENTIE 13";="40640";"JYVÄSKYLÄ";"KAUPPA";"S-MARKET KELTINMÄKI";="24 H AUKIOLO";="";"62.228049";"25.681315"
