"Malli";"Numero";"Kohteen osoite";"Postinumero";"Postitoimipaikka";"Sijaintipaikan tyyppi";"Sijaintipaikka";"Aukioloaika";"Aukioloaika (lisätiedot)";"Koordinaatti LAT";"Koordinaatti LON"
"EP";="05574";"TYYNENMERENKATU 8";="00220";"HELSINKI";"LAIVATERMINAALI";"LÄNSITERMINAALI";="LIIKETILAN AUKIOLO";="";"60.154860";"24.921190"
"P";="05735";"ESTERINPORTTI 2";="00240";"HELSINKI";"KAUPPA";"K-MARKET RATIS";="24 H AUKIOLO";="";"60.197321";"24.928256"
"P";="05803";"MANNERHEIMINTIE 76";="00250";"HELSINKI";"KAUPPA";"ALEPA KISAHALLI";="24 H AUKIOLO";="";"60.184873";"24.922186"
"P";="05770";"MANNERHEIMINTIE 58";="00260";"HELSINKI";"KIOSKI";"R-KIOSKI";="24 H AUKIOLO";="";"60.181805";"24.926814"
"O";="04914";"SANDELSINKATU 6";="00260";"HELSINKI";"LIIKEKIINTEISTÖ";"TÖÖLÖNTORI";="24 H AUKIOLO";="";"60.178710";"24.923240"
"O";="04639";"TUKHOLMANKATU 11";="00270";"HELSINKI";"KIOSKI";"R-KIOSKI MEILAHTI";="24 H AUKIOLO";="";"60.191370";"24.906945"
"EP";="05448";"HAARTMANINKATU 4";="00290";"HELSINKI";"SAIRAALA";"HYKS / AULA";="LIIKETILAN AUKIOLO";="";"60.190770";"24.907230"
"P";="05781";"MANNERHEIMINTIE 160";="00300";"HELSINKI";"KAUPPA";"K-MARKET FORTUNA";="24 H AUKIOLO";="";"60.197500";"24.900260"
"O";="04877";"MANNERHEIMINTIE 168";="00300";"HELSINKI";"LIIKEKIINTEISTÖ";"VVO ASUNTOMYYMÄLÄ";="24 H AUKIOLO";="";"60.202690";"24.898880"
"O";="04440";"TUNNELITIE 5";="00320";"HELSINKI";"KAUPPA";"K-SUPERMARKET HAAGA";="24 H AUKIOLO";="";"60.217136";"24.899781"
"O";="05020";"MUNKKINIEMEN PUISTOTIE 14";="00330";"HELSINKI";"PANKIN KONTTORI";"NORDEA MUNKKINIEMI";="ITSEPALVELUALUEEN AUKIOLO";="ma-su klo 06-01";"60.197310";"24.879280"
"O";="04235";"RAUMANTIE 1";="00350";"HELSINKI";"KAUPPAKESKUS";"MUNKKIVUOREN OSTOSKESKUS";="LIIKETILAN AUKIOLO";="";"60.205698";"24.877714"
"O";="04225";"KONALANTIE 6";="00370";"HELSINKI";"KAUPPA";"VALINTATALO REIMARLA";="24 H AUKIOLO";="";"60.226289";"24.853904"
"O";="04446";"HIOMOTIE 26-30";="00380";"HELSINKI";"PANKIN KONTTORI";"NORDEA PITÄJÄNMÄKI";="24 H AUKIOLO";="";"60.219995";"24.872753"
"O";="04078";"TAKOMOTIE 33";="00380";"HELSINKI";"KAUPPA";"S-MARKET PITÄJÄNMÄKI";="24 H AUKIOLO";="";"60.217511";"24.869753"
"EP";="05467";"AJOMIEHENTIE 1";="00390";"HELSINKI";"KAUPPAKESKUS";"RISTIKKO";="LIIKETILAN AUKIOLO";="";"60.238925";"24.851237"
"P";="05728";"HANKASUONTIE 2";="00390";"HELSINKI";"KAUPPA";"S-MARKET KONALA";="24 H AUKIOLO";="";"60.245310";"24.845900"
"O";="04827";"NÄYTTELIJÄNTIE 14";="00400";"HELSINKI";"KAUPPA";"ALEPA POHJOIS-HAAGA";="24 H AUKIOLO";="";"60.229503";"24.895261"
"EP";="05597";"PUUSTELLINKUJA 2";="00410";"HELSINKI";"KAUPPA";"ALEPA MALMINKARTANO";="LIIKETILAN AUKIOLO";="";"60.247470";"24.859090"
"O";="04793";"KANTELETTARENTIE 1";="00420";"HELSINKI";"KAUPPAKESKUS";"KAARI";="24 H AUKIOLO";="";"60.236690";"24.890420"
"EP";="05502";"KANTELETTARENTIE 1";="00420";"HELSINKI";"KAUPPAKESKUS";"KAARI / INFO";="LIIKETILAN AUKIOLO";="";"60.237170";"24.894780"
"T";="40038";"KANTELETTARENTIE 1";="00420";"HELSINKI";"KAUPPAKESKUS";"KAARI";="LIIKETILAN AUKIOLO";="";"60.236860";"24.892190"
"P";="05740";"SITRATORI 5";="00420";"HELSINKI";"LIIKEKIINTEISTÖ";"LIIKETILA";="24 H AUKIOLO";="";"60.239250";"24.875340"
"O";="04280";"VANHAISTENTIE 1";="00420";"HELSINKI";"KIOSKI";"R-KIOSKI / KANNELMÄEN OSTOSKESKUS";="24 H AUKIOLO";="";"60.241828";"24.885100"
